cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00156123,SANTIAGO DE CHOCORVOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00113087,TAMBO,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,15.936,344.0,True,True,,,,3138.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,24.234,100.0,True,True,0.3891,0.0,,3050.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00000844,PISAC,CUSCO,SIERRA SUR ORIENTAL,26.036,148.0,True,True,0.8955,0.0,,3002.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,35.103,62.0,True,True,0.2082,0.0,,3212.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00113122,CAICAY,CUSCO,SIERRA SUR ORIENTAL,0.485,30.0,True,True,,,,3120.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00100044,GRANJA KAYRA,CUSCO,SIERRA SUR ORIENTAL,19.545,69.0,True,True,,,,3219.0,False
qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,19.552,69.0,True,True,,,,3219.0,False
qc00000625,ACOSTAMBO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00112051,ACOSTAMBO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,0.599,0.0,True,True,,,,3603.0,False
qc00000625,ACOSTAMBO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00112060,PILCHACA,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,4.783,25.0,True,True,,,,3578.0,False
qc00000625,ACOSTAMBO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00112012,PAMPAS,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,19.241,358.0,True,True,,,,3245.0,False
qc00156113,SAN JUAN DE YANAC,ICA,SIERRA CENTRAL OCCIDENTAL,qc00156114,SAN JUAN DE CASTROVIRREYNA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,17.246,105.0,True,True,0.9427,0.0,,2398.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc00000650,HACIENDA BERNALES,ICA,COSTA SUR,36.484,232.0,True,True,0.1999,0.000198,,291.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc4728B11C,FONAGRO,ICA,COSTA SUR,1.908,5.0,True,True,,,,64.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc4728A26A,CONTA M,ICA,COSTA SUR,17.466,255.0,True,True,,,,314.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc00203501,CONTA,,COSTA SUR,17.468,250.0,True,True,,,,309.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc00100046,HACIENDA BERNALES,ICA,COSTA SUR,36.476,234.0,True,True,,,,293.0,False
qc00000791,FONAGRO (CHINCHA),ICA,COSTA SUR,qc00000616,CA�ETE,LIMA,COSTA CENTRO,47.755,54.0,False,True,,,,113.0,False
qc00156122,TAMBO,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00156123,SANTIAGO DE CHOCORVOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,15.932,344.0,True,True,0.8948,0.0,,2794.0,False
qc00156122,TAMBO,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00113086,CUSICANCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,21.013,115.0,True,True,,,,3253.0,False
qc00156122,TAMBO,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc4728C78C,CUSICANCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,23.343,115.0,True,True,,,,3253.0,False
qc00000730,OCUCAJE,ICA,COSTA SUR,qc00000700,SAN CAMILO,ICA,COSTA SUR,34.111,94.0,True,True,0.1057,0.010728,,405.0,False
